City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,22.32,74,89,12.38,PN,1713771336
1,puerto ayora,-0.7393,-90.3518,24.19,99,80,1.34,EC,1713771347
2,margaret river,-33.95,115.0667,18.03,42,10,7.88,AU,1713770933
3,segou,13.4317,-6.2157,30.77,46,37,7.43,ML,1713771367
4,remire-montjoly,4.9167,-52.2667,25.02,94,75,1.03,GF,1713771377
5,whitehorse,60.7161,-135.0538,4.43,48,20,4.12,CA,1713771388
6,ansalta,42.6894,46.1178,13.19,77,83,1.95,RU,1713771403
7,merced,37.1666,-120.7516,19.05,73,0,1.46,US,1713771414
8,port-aux-francais,-49.35,70.2167,5.22,81,8,11.67,TF,1713771424
9,longyearbyen,78.2186,15.6401,3.91,65,75,5.66,SJ,1713771434
10,jamestown,42.097,-79.2353,2.62,87,0,3.09,US,1713771444
11,arraial do cabo,-22.9661,-42.0278,21.91,79,0,6.36,BR,1713771455
12,al ghayzah,16.2079,52.176,30.98,56,9,5.02,YE,1713771465
13,waitangi,-43.9535,-176.5597,10.46,79,4,3.13,NZ,1713771475
14,papatowai,-46.5619,169.4708,9.4,69,80,5.82,NZ,1713771486
15,papao,-17.75,-149.55,25.82,80,47,1.88,PF,1713771496
16,lobva,59.1854,60.5185,13.96,51,19,2.13,RU,1713771506
17,paraiso,9.8383,-83.8656,19.68,100,75,0.55,CR,1713771516
18,sao felix do xingu,-6.6447,-51.995,22.02,99,84,0.53,BR,1713771527
19,bethel,41.3712,-73.414,5.27,72,0,1.82,US,1713771537
20,mopti,14.6667,-4.0,32.02,43,20,6.17,ML,1713771547
21,acarau,-2.8856,-40.12,24.94,91,100,3.88,BR,1713771558
22,enewetak,11.3474,162.3373,27.92,77,26,7.59,MH,1713771568
23,ancud,-41.8697,-73.8203,8.12,85,100,2.42,CL,1713771578
24,olonkinbyen,70.9221,-8.7187,-1.83,56,0,11.66,SJ,1713771589
25,georgetown,5.4112,100.3354,32.97,62,20,5.14,MY,1713771377
26,hermanus,-34.4187,19.2345,17.86,70,64,1.61,ZA,1713771609
27,mount gambier,-37.8333,140.7667,13.2,64,26,1.83,AU,1713771467
28,ushuaia,-54.8,-68.3,4.81,75,0,2.57,AR,1713771445
29,surovikino,48.6078,42.8486,17.37,39,0,5.23,RU,1713771640
30,el tigre,8.8875,-64.2454,23.59,75,55,5.71,VE,1713771661
31,bilibino,68.0546,166.4372,-11.36,82,81,1.08,RU,1713771677
32,puerto baquerizo moreno,-0.9,-89.6,23.74,92,59,4.83,EC,1713771688
33,ilulissat,69.2167,-51.1,2.01,75,100,2.57,GL,1713771698
34,bani walid,31.7566,13.9942,18.69,65,100,5.21,LY,1713771709
35,mutuali,-14.8706,37.0044,27.43,55,4,0.68,MZ,1713771719
36,grytviken,-54.2811,-36.5092,0.42,82,100,7.07,GS,1713771729
37,fallon,39.4735,-118.7774,11.93,43,0,4.12,US,1713771739
38,lebu,-37.6167,-73.65,11.47,83,100,5.79,CL,1713771750
39,hawaiian paradise park,19.5933,-154.9731,20.73,96,100,4.63,US,1713771760
40,saipan,15.1355,145.701,30.39,66,20,7.2,MP,1713771770
41,badger,64.8,-147.5333,7.93,43,0,3.6,US,1713771781
42,jaguarao,-32.5661,-53.3758,18.5,93,100,4.92,BR,1713771791
43,bardai,11.65,7.2333,29.83,48,100,6.08,NG,1713771801
44,santa cruz,-17.8,-63.1667,23.7,94,40,2.57,BO,1713771812
45,carbonear,47.7332,-53.2148,3.01,93,100,0.88,CA,1713771823
46,wailua homesteads,22.0669,-159.378,22.44,75,75,9.77,US,1713771833
47,al hufuf,25.3646,49.5653,35.19,20,0,6.17,SA,1713771844
48,machico,32.7,-16.7667,18.89,77,40,3.6,PT,1713771854
49,saint-denis,48.9167,2.3333,7.64,78,75,5.66,FR,1713771864
50,cabedelo,-6.9811,-34.8339,25.37,87,98,2.88,BR,1713771752
51,ranot,7.7777,100.3213,31.51,67,93,5.72,TH,1713771778
52,puerto natales,-51.7236,-72.4875,0.96,91,97,1.86,CL,1713771895
53,talnakh,69.4865,88.3972,-13.77,78,97,1.0,RU,1713771906
54,ishigaki,24.3448,124.1572,30.07,74,75,6.69,JP,1713771916
55,sur,22.5667,59.5289,31.26,49,0,1.91,OM,1713771626
56,emkhomazi,-30.2067,30.7978,24.67,68,67,1.12,ZA,1713771939
57,west island,-12.1568,96.8225,29.99,74,100,8.75,CC,1713771919
58,emerald,-23.5333,148.1667,25.19,48,48,9.3,AU,1713771720
59,edinburgh of the seven seas,-37.0676,-12.3116,16.87,90,34,8.72,SH,1713771971
60,avarua,-21.2078,-159.775,25.03,83,20,3.09,CK,1713771981
61,fale old settlement,-9.3852,-171.2468,29.58,76,10,3.07,TK,1713772003
62,iqaluit,63.7506,-68.5145,-19.15,78,0,1.03,CA,1713772014
63,blackmans bay,-43.0167,147.3167,15.85,72,100,0.53,AU,1713772024
64,souillac,-20.5167,57.5167,31.86,74,40,5.66,MU,1713772034
65,rio gallegos,-51.6226,-69.2181,3.03,75,0,7.2,AR,1713771746
66,ust-nera,64.5667,143.2,0.39,90,85,1.62,RU,1713772066
67,dubbo,-32.25,148.6167,20.07,52,0,4.12,AU,1713772080
68,aras-asan,8.8908,126.3033,29.57,71,100,3.15,PH,1713772097
69,chonchi,-42.6128,-73.8092,6.18,88,100,0.13,CL,1713772107
70,madison,34.7334,-86.5667,6.88,77,0,1.79,US,1713772118
71,kodinsk,58.6881,99.1844,1.36,82,100,3.78,RU,1713772128
72,erenhot,43.6475,111.9767,12.35,22,100,7.46,CN,1713772138
73,gotsucho,35.0,132.2167,14.84,89,100,3.35,JP,1713772149
74,alaghsas,17.0187,8.0168,30.94,40,9,7.2,NE,1713772159
75,bubaque,11.2833,-15.8333,24.34,69,25,3.22,GW,1713772169
76,albany,42.6001,-73.9662,3.15,73,6,3.79,US,1713772180
77,stanley,54.868,-1.6985,6.82,96,75,1.03,GB,1713772190
78,thompson,55.7435,-97.8558,-1.91,46,40,1.54,CA,1713772201
79,geraldton,-28.7667,114.6,24.23,60,40,13.38,AU,1713772211
80,umba,66.6871,34.3429,-6.61,83,100,4.59,RU,1713772221
81,tutoia,-2.7619,-42.2744,24.59,91,85,1.76,BR,1713772231
82,shira,54.4911,89.9531,5.1,77,100,6.9,RU,1713772241
83,tura,25.5198,90.2201,37.85,12,91,4.78,IN,1713772127
84,nizhneudinsk,54.9076,99.0276,4.77,80,100,2.38,RU,1713771975
85,bredasdorp,-34.5322,20.0403,19.8,62,9,2.94,ZA,1713772272
86,gadzhiyevo,69.2551,33.3362,-8.38,68,2,9.22,RU,1713772282
87,gandajika,-6.75,23.95,27.01,66,5,1.85,CD,1713772293
88,belmonte,-15.8631,-38.8828,23.8,92,66,3.58,BR,1713772303
89,queenstown,-31.8976,26.8753,25.66,28,100,8.81,ZA,1713772090
90,sinabang,2.4803,96.3801,29.63,77,100,2.88,ID,1713772323
91,dzhankoy,45.7167,34.4,17.14,44,100,4.3,UA,1713772334
92,cadale,2.7603,46.3222,31.21,57,100,2.41,SO,1713772344
93,tatsinskiy,48.1968,41.2756,16.69,42,0,4.19,RU,1713772354
94,cidreira,-30.1811,-50.2056,19.58,81,100,1.45,BR,1713772364
95,yellowknife,62.456,-114.3525,2.29,84,20,1.03,CA,1713772375
96,port mathurin,-19.6833,63.4167,26.93,80,50,6.35,MU,1713772396
97,tadine,-21.55,167.8833,23.99,92,100,9.1,NC,1713772406
98,avanigadda,16.0215,80.9181,35.53,32,13,5.58,IN,1713772416
99,kapuskasing,49.4169,-82.4331,-9.0,67,75,2.57,CA,1713772427
100,fort st. john,56.2499,-120.8529,7.94,49,75,7.72,CA,1713772437
101,san francisco,37.7749,-122.4194,16.84,84,0,2.57,US,1713772442
102,vakarai,55.6035,23.8213,0.29,100,100,7.93,LT,1713772457
103,port alfred,-33.5906,26.891,23.75,85,78,7.36,ZA,1713772478
104,calvinia,-31.4707,19.776,16.47,58,100,2.12,ZA,1713772488
105,kindu,-2.95,25.95,31.1,56,53,1.78,CD,1713772499
106,margate,51.3813,1.3862,8.82,67,15,4.02,GB,1713772509
107,yulinshi,38.2906,109.7494,20.26,12,100,8.99,CN,1713772519
108,cimitarra,6.3142,-73.9497,23.27,98,100,0.49,CO,1713772529
109,port elizabeth,-33.918,25.5701,20.05,88,75,11.32,ZA,1713772292
110,mhamid,29.82,-5.72,19.58,36,0,6.88,MA,1713772551
111,fort stockton,30.894,-102.8793,13.98,66,99,2.84,US,1713772562
112,copiapo,-27.3667,-70.3333,12.83,88,30,0.49,CL,1713772583
113,atafu village,-8.5421,-172.5159,29.76,72,54,3.58,TK,1713772593
114,petropavlovsk-kamchatsky,53.0452,158.6483,7.33,46,0,4.0,RU,1713772315
115,tiksi,71.6872,128.8694,-4.5,95,100,7.44,RU,1713772614
116,babai,22.7,77.9333,36.45,22,100,3.41,IN,1713772624
117,tromso,69.6496,18.957,0.01,43,0,7.2,NO,1713772634
118,carnarvon,-24.8667,113.6333,27.39,43,58,8.39,AU,1713772645
119,thal,35.4791,72.2439,14.85,59,99,2.18,PK,1713772655
120,abu dhabi,24.4667,54.3667,33.06,33,0,2.57,AE,1713772419
121,wuchang,44.9143,127.15,19.38,45,100,2.79,CN,1713772675
122,ketchikan,55.3422,-131.6461,7.26,93,100,3.6,US,1713772686
123,choibalsan,48.0667,114.5,9.87,37,100,7.44,MN,1713772696
124,mogoytuy,51.2833,114.9167,6.85,70,100,6.25,RU,1713772706
125,flin flon,54.7682,-101.865,-0.46,96,98,3.66,CA,1713772716
126,camarinas,43.1311,-9.1817,12.74,63,5,10.37,ES,1713772727
127,karatuzskoye,53.6072,92.8667,2.43,46,100,0.89,RU,1713772737
128,tabou,4.423,-7.3528,26.65,87,97,2.5,CI,1713772747
129,mangai,-4.05,19.5333,30.86,55,94,2.16,CD,1713772757
130,st. paul,44.9444,-93.0933,8.85,47,0,0.89,US,1713772768
131,conduaga,8.862,117.4893,29.66,66,97,0.46,PH,1713772778
132,trujillo,-8.116,-79.03,18.98,88,75,2.06,PE,1713772788
133,tsiombe,-25.3,45.4833,28.55,40,0,1.5,MG,1713772798
134,invercargill,-46.4,168.35,10.57,74,81,4.02,NZ,1713772800
135,hirara,24.8,125.2833,25.89,85,99,6.18,JP,1713772819
136,sandnessjoen,66.0217,12.6316,4.12,24,0,3.6,NO,1713772829
137,liwale,-9.7667,37.9333,26.76,66,24,3.48,TZ,1713772835
138,holualoa,19.6228,-155.9522,20.31,82,78,0.61,US,1713772850
139,broome,42.2506,-75.833,2.34,74,6,1.34,US,1713772860
140,belyy yar,53.6039,91.3903,13.94,54,40,4.0,RU,1713772871
141,port lincoln,-34.7333,135.8667,19.06,46,29,0.91,AU,1713772881
142,la sarre,48.8002,-79.1996,-10.57,86,21,1.81,CA,1713772892
143,klaksvik,62.2266,-6.589,8.51,78,18,3.72,FO,1713772871
144,kasongo-lunda,-6.4667,16.8167,27.4,75,31,1.6,CD,1713772913
145,aasiaat,68.7098,-52.8699,-1.06,94,100,4.15,GL,1713772923
146,codrington,-38.2667,141.9667,12.22,80,9,2.02,AU,1713772934
147,tazovsky,67.4667,78.7,-12.66,83,100,5.42,RU,1713772944
148,tomatlan,19.9333,-105.25,19.14,75,0,0.61,MX,1713772955
149,guerrero negro,27.9769,-114.0611,14.99,90,0,3.94,MX,1713772965
150,beroroha,-21.6667,45.1667,33.07,35,0,0.9,MG,1713772976
151,borodino,55.9106,94.8983,2.98,88,99,7.65,RU,1713772986
152,gordon,34.5004,-84.8666,7.86,76,0,2.06,US,1713772829
153,abra pampa,-22.7205,-65.697,11.6,30,3,2.99,AR,1713773007
154,nago,26.5881,127.9761,26.92,88,100,2.29,JP,1713772986
155,majalengka,-6.8361,108.2278,30.72,69,91,2.04,ID,1713773028
156,taveta,-3.3963,37.6736,25.73,70,93,3.11,KE,1713773038
157,khor,47.8861,134.9464,14.74,42,13,4.65,RU,1713773048
158,hohhot,40.8106,111.6522,16.06,11,99,12.21,CN,1713772915
159,udachny,66.4167,112.4,1.92,100,100,1.0,RU,1713773069
160,tomohon,1.3346,124.8392,24.52,83,88,1.02,ID,1713773079
161,vilyuchinsk,52.9306,158.4028,6.15,80,24,1.69,RU,1713773090
162,nikolayevsk-on-amure,53.1406,140.73,2.9,76,69,1.34,RU,1713773101
163,kerikeri,-35.2268,173.9474,14.39,87,0,2.63,NZ,1713773111
164,xinyuan,37.3,99.0,8.6,11,77,6.53,CN,1713773122
165,rio grande,-32.035,-52.0986,20.08,81,100,4.09,BR,1713773132
166,fort mcmurray,56.7268,-111.381,4.73,38,0,3.09,CA,1713773146
167,abaza,52.655,90.0928,9.65,83,100,4.69,RU,1713773157
168,uturoa,-16.7333,-151.4333,28.49,72,3,0.46,PF,1713773167
169,hanzhong,33.0728,107.0303,25.97,41,100,1.27,CN,1713772974
170,constantia,44.1833,28.65,12.61,79,58,9.01,RO,1713773188
171,bima,-8.4667,118.7167,26.55,94,100,0.89,ID,1713773198
172,okha,53.5739,142.9478,-0.42,95,46,4.92,RU,1713773209
173,rivne,50.6231,26.2274,7.82,67,100,6.15,UA,1713773219
174,neryungri,56.6709,124.6491,0.66,99,100,1.98,RU,1713773229
175,saint-francois,46.4154,3.9054,4.69,82,75,5.14,FR,1713773240
176,bouar,5.934,15.596,24.53,68,100,2.67,CF,1713773250
177,ugoofaaru,5.6667,73.0,30.14,76,100,5.4,MV,1713773197
178,puerto aysen,-45.4,-72.7,-0.67,96,98,0.62,CL,1713773271
179,mount pearl,47.5166,-52.7813,1.75,96,75,2.57,CA,1713773281
180,axim,4.8699,-2.2405,28.53,80,100,1.99,GH,1713773016
181,shingu,33.7333,135.9833,16.97,92,100,3.53,JP,1713773302
182,hamilton,39.1834,-84.5333,4.32,84,0,2.06,US,1713773145
183,lompoc,34.6391,-120.4579,13.34,87,100,0.89,US,1713773322
184,taoudenni,22.6783,-3.9836,28.44,12,0,5.07,ML,1713773333
185,vanino,49.0869,140.2543,6.07,72,35,3.6,RU,1713773343
186,tolanaro,-25.0319,46.9987,25.55,66,0,1.72,MG,1713773353
